,state,tid,spec,result,misc,exp_key,owner,version,book_time,refresh_time,alpha,decay,eta,gamma_threshold,minimum_probability,num_topics,offset,loss,status
0,2,0,,"{'loss': 1.6978856489688845, 'status': 'ok'}","{'tid': 0, 'cmd': ('domain_attachment', 'FMinIter_Domain'), 'workdir': None, 'idxs': {'alpha': [0], 'decay': [0], 'eta': [0], 'gamma_threshold': [0], 'minimum_probability': [0], 'num_topics': [0], 'offset': [0]}, 'vals': {'alpha': [1], 'decay': [6], 'eta': [0], 'gamma_threshold': [9], 'minimum_probability': [1], 'num_topics': [10.0], 'offset': [3]}}",,,0,2021-05-03 20:40:09.679,2021-05-03 20:40:46.387,0.4,0.55,,0.0002,0.05,10.0,64,1.6978856489688845,ok
1,2,1,,"{'loss': 1.8913433119754912, 'status': 'ok'}","{'tid': 1, 'cmd': ('domain_attachment', 'FMinIter_Domain'), 'workdir': None, 'idxs': {'alpha': [1], 'decay': [1], 'eta': [1], 'gamma_threshold': [1], 'minimum_probability': [1], 'num_topics': [1], 'offset': [1]}, 'vals': {'alpha': [1], 'decay': [3], 'eta': [1], 'gamma_threshold': [7], 'minimum_probability': [7], 'num_topics': [14.0], 'offset': [0]}}",,,0,2021-05-03 20:40:46.392,2021-05-03 20:41:22.978,0.4,0.8,auto,0.0006,0.0001,14.0,1,1.8913433119754912,ok
2,2,2,,"{'loss': 2.4244242892355183, 'status': 'ok'}","{'tid': 2, 'cmd': ('domain_attachment', 'FMinIter_Domain'), 'workdir': None, 'idxs': {'alpha': [2], 'decay': [2], 'eta': [2], 'gamma_threshold': [2], 'minimum_probability': [2], 'num_topics': [2], 'offset': [2]}, 'vals': {'alpha': [5], 'decay': [2], 'eta': [0], 'gamma_threshold': [10], 'minimum_probability': [5], 'num_topics': [13.0], 'offset': [2]}}",,,0,2021-05-03 20:41:22.983,2021-05-03 20:41:56.982,0.08,0.9,,0.0001,0.001,13.0,16,2.4244242892355183,ok
3,2,3,,"{'loss': 1.8994777628919681, 'status': 'ok'}","{'tid': 3, 'cmd': ('domain_attachment', 'FMinIter_Domain'), 'workdir': None, 'idxs': {'alpha': [3], 'decay': [3], 'eta': [3], 'gamma_threshold': [3], 'minimum_probability': [3], 'num_topics': [3], 'offset': [3]}, 'vals': {'alpha': [1], 'decay': [3], 'eta': [0], 'gamma_threshold': [11], 'minimum_probability': [0], 'num_topics': [12.0], 'offset': [2]}}",,,0,2021-05-03 20:41:56.986,2021-05-03 20:42:33.945,0.4,0.8,,5e-05,0.1,12.0,16,1.8994777628919681,ok
4,2,4,,"{'loss': 2.2905837144862446, 'status': 'ok'}","{'tid': 4, 'cmd': ('domain_attachment', 'FMinIter_Domain'), 'workdir': None, 'idxs': {'alpha': [4], 'decay': [4], 'eta': [4], 'gamma_threshold': [4], 'minimum_probability': [4], 'num_topics': [4], 'offset': [4]}, 'vals': {'alpha': [9], 'decay': [5], 'eta': [1], 'gamma_threshold': [5], 'minimum_probability': [0], 'num_topics': [15.0], 'offset': [3]}}",,,0,2021-05-03 20:42:33.949,2021-05-03 20:43:08.462,0.01,0.6,auto,0.001,0.1,15.0,64,2.2905837144862446,ok
5,2,5,,"{'loss': 2.412363942102069, 'status': 'ok'}","{'tid': 5, 'cmd': ('domain_attachment', 'FMinIter_Domain'), 'workdir': None, 'idxs': {'alpha': [5], 'decay': [5], 'eta': [5], 'gamma_threshold': [5], 'minimum_probability': [5], 'num_topics': [5], 'offset': [5]}, 'vals': {'alpha': [2], 'decay': [6], 'eta': [1], 'gamma_threshold': [7], 'minimum_probability': [4], 'num_topics': [11.0], 'offset': [4]}}",,,0,2021-05-03 20:43:08.467,2021-05-03 20:43:42.370,0.3,0.55,auto,0.0006,0.005,11.0,256,2.412363942102069,ok
6,2,6,,"{'loss': 2.375326375668256, 'status': 'ok'}","{'tid': 6, 'cmd': ('domain_attachment', 'FMinIter_Domain'), 'workdir': None, 'idxs': {'alpha': [6], 'decay': [6], 'eta': [6], 'gamma_threshold': [6], 'minimum_probability': [6], 'num_topics': [6], 'offset': [6]}, 'vals': {'alpha': [12], 'decay': [8], 'eta': [1], 'gamma_threshold': [7], 'minimum_probability': [3], 'num_topics': [8.0], 'offset': [4]}}",,,0,2021-05-03 20:43:42.375,2021-05-03 20:44:14.034,0.0005,0.50001,auto,0.0006,0.01,8.0,256,2.375326375668256,ok
7,2,7,,"{'loss': 2.527316965214891, 'status': 'ok'}","{'tid': 7, 'cmd': ('domain_attachment', 'FMinIter_Domain'), 'workdir': None, 'idxs': {'alpha': [7], 'decay': [7], 'eta': [7], 'gamma_threshold': [7], 'minimum_probability': [7], 'num_topics': [7], 'offset': [7]}, 'vals': {'alpha': [5], 'decay': [5], 'eta': [0], 'gamma_threshold': [6], 'minimum_probability': [2], 'num_topics': [15.0], 'offset': [1]}}",,,0,2021-05-03 20:44:14.038,2021-05-03 20:44:47.349,0.08,0.6,,0.0008,0.02,15.0,4,2.527316965214891,ok
8,2,8,,"{'loss': 2.5263557672305086, 'status': 'ok'}","{'tid': 8, 'cmd': ('domain_attachment', 'FMinIter_Domain'), 'workdir': None, 'idxs': {'alpha': [8], 'decay': [8], 'eta': [8], 'gamma_threshold': [8], 'minimum_probability': [8], 'num_topics': [8], 'offset': [8]}, 'vals': {'alpha': [6], 'decay': [3], 'eta': [0], 'gamma_threshold': [9], 'minimum_probability': [5], 'num_topics': [16.0], 'offset': [1]}}",,,0,2021-05-03 20:44:47.356,2021-05-03 20:45:22.450,0.06,0.8,,0.0002,0.001,16.0,4,2.5263557672305086,ok
9,2,9,,"{'loss': 2.3757322233220375, 'status': 'ok'}","{'tid': 9, 'cmd': ('domain_attachment', 'FMinIter_Domain'), 'workdir': None, 'idxs': {'alpha': [9], 'decay': [9], 'eta': [9], 'gamma_threshold': [9], 'minimum_probability': [9], 'num_topics': [9], 'offset': [9]}, 'vals': {'alpha': [10], 'decay': [5], 'eta': [1], 'gamma_threshold': [5], 'minimum_probability': [0], 'num_topics': [9.0], 'offset': [3]}}",,,0,2021-05-03 20:45:22.454,2021-05-03 20:45:54.612,0.005,0.6,auto,0.001,0.1,9.0,64,2.3757322233220375,ok
10,2,10,,"{'loss': 2.4644349708266624, 'status': 'ok'}","{'tid': 10, 'cmd': ('domain_attachment', 'FMinIter_Domain'), 'workdir': None, 'idxs': {'alpha': [10], 'decay': [10], 'eta': [10], 'gamma_threshold': [10], 'minimum_probability': [10], 'num_topics': [10], 'offset': [10]}, 'vals': {'alpha': [11], 'decay': [3], 'eta': [0], 'gamma_threshold': [6], 'minimum_probability': [2], 'num_topics': [14.0], 'offset': [0]}}",,,0,2021-05-03 20:45:54.617,2021-05-03 20:46:28.924,0.001,0.8,,0.0008,0.02,14.0,1,2.4644349708266624,ok
