,state,tid,spec,result,misc,exp_key,owner,version,book_time,refresh_time,alpha,decay,eta,gamma_threshold,minimum_probability,num_topics,offset,loss,status
0,2,0,,"{'loss': 7.7710486931357226, 'status': 'ok'}","{'tid': 0, 'cmd': ('domain_attachment', 'FMinIter_Domain'), 'workdir': None, 'idxs': {'alpha': [0], 'decay': [0], 'eta': [0], 'gamma_threshold': [0], 'minimum_probability': [0], 'num_topics': [0], 'offset': [0]}, 'vals': {'alpha': [9], 'decay': [3], 'eta': [0], 'gamma_threshold': [3], 'minimum_probability': [7], 'num_topics': [10.0], 'offset': [3]}}",,,0,2021-05-03 21:15:27.004,2021-05-03 21:16:07.913,0.01,0.8,,0.003,0.0001,10.0,64,7.7710486931357226,ok
1,2,1,,"{'loss': 7.7798626853780695, 'status': 'ok'}","{'tid': 1, 'cmd': ('domain_attachment', 'FMinIter_Domain'), 'workdir': None, 'idxs': {'alpha': [1], 'decay': [1], 'eta': [1], 'gamma_threshold': [1], 'minimum_probability': [1], 'num_topics': [1], 'offset': [1]}, 'vals': {'alpha': [12], 'decay': [0], 'eta': [1], 'gamma_threshold': [3], 'minimum_probability': [1], 'num_topics': [8.0], 'offset': [1]}}",,,0,2021-05-03 21:16:07.920,2021-05-03 21:16:49.465,0.0005,0.99,auto,0.003,0.05,8.0,4,7.7798626853780695,ok
2,2,2,,"{'loss': 7.721000957476713, 'status': 'ok'}","{'tid': 2, 'cmd': ('domain_attachment', 'FMinIter_Domain'), 'workdir': None, 'idxs': {'alpha': [2], 'decay': [2], 'eta': [2], 'gamma_threshold': [2], 'minimum_probability': [2], 'num_topics': [2], 'offset': [2]}, 'vals': {'alpha': [7], 'decay': [4], 'eta': [0], 'gamma_threshold': [7], 'minimum_probability': [2], 'num_topics': [14.0], 'offset': [2]}}",,,0,2021-05-03 21:16:49.469,2021-05-03 21:17:33.908,0.04,0.7,,0.0006,0.02,14.0,16,7.721000957476713,ok
3,2,3,,"{'loss': 7.7434191275475595, 'status': 'ok'}","{'tid': 3, 'cmd': ('domain_attachment', 'FMinIter_Domain'), 'workdir': None, 'idxs': {'alpha': [3], 'decay': [3], 'eta': [3], 'gamma_threshold': [3], 'minimum_probability': [3], 'num_topics': [3], 'offset': [3]}, 'vals': {'alpha': [3], 'decay': [4], 'eta': [0], 'gamma_threshold': [9], 'minimum_probability': [1], 'num_topics': [15.0], 'offset': [2]}}",,,0,2021-05-03 21:17:33.912,2021-05-03 21:18:21.545,0.2,0.7,,0.0002,0.05,15.0,16,7.7434191275475595,ok
4,2,4,,"{'loss': 7.690375125067414, 'status': 'ok'}","{'tid': 4, 'cmd': ('domain_attachment', 'FMinIter_Domain'), 'workdir': None, 'idxs': {'alpha': [4], 'decay': [4], 'eta': [4], 'gamma_threshold': [4], 'minimum_probability': [4], 'num_topics': [4], 'offset': [4]}, 'vals': {'alpha': [6], 'decay': [6], 'eta': [0], 'gamma_threshold': [0], 'minimum_probability': [3], 'num_topics': [13.0], 'offset': [1]}}",,,0,2021-05-03 21:18:21.550,2021-05-03 21:18:54.393,0.06,0.55,,0.02,0.01,13.0,4,7.690375125067414,ok
5,2,5,,"{'loss': 7.916135082594522, 'status': 'ok'}","{'tid': 5, 'cmd': ('domain_attachment', 'FMinIter_Domain'), 'workdir': None, 'idxs': {'alpha': [5], 'decay': [5], 'eta': [5], 'gamma_threshold': [5], 'minimum_probability': [5], 'num_topics': [5], 'offset': [5]}, 'vals': {'alpha': [5], 'decay': [1], 'eta': [1], 'gamma_threshold': [4], 'minimum_probability': [5], 'num_topics': [15.0], 'offset': [3]}}",,,0,2021-05-03 21:18:54.397,2021-05-03 21:19:34.891,0.08,0.95,auto,0.002,0.001,15.0,64,7.916135082594522,ok
6,2,6,,"{'loss': 7.878621513273076, 'status': 'ok'}","{'tid': 6, 'cmd': ('domain_attachment', 'FMinIter_Domain'), 'workdir': None, 'idxs': {'alpha': [6], 'decay': [6], 'eta': [6], 'gamma_threshold': [6], 'minimum_probability': [6], 'num_topics': [6], 'offset': [6]}, 'vals': {'alpha': [13], 'decay': [1], 'eta': [0], 'gamma_threshold': [12], 'minimum_probability': [0], 'num_topics': [10.0], 'offset': [3]}}",,,0,2021-05-03 21:19:34.896,2021-05-03 21:20:18.653,0.0001,0.95,,1e-05,0.1,10.0,64,7.878621513273076,ok
7,2,7,,"{'loss': 7.719912370772886, 'status': 'ok'}","{'tid': 7, 'cmd': ('domain_attachment', 'FMinIter_Domain'), 'workdir': None, 'idxs': {'alpha': [7], 'decay': [7], 'eta': [7], 'gamma_threshold': [7], 'minimum_probability': [7], 'num_topics': [7], 'offset': [7]}, 'vals': {'alpha': [10], 'decay': [7], 'eta': [1], 'gamma_threshold': [11], 'minimum_probability': [6], 'num_topics': [10.0], 'offset': [3]}}",,,0,2021-05-03 21:20:18.658,2021-05-03 21:21:05.637,0.005,0.51,auto,5e-05,0.0005,10.0,64,7.719912370772886,ok
8,2,8,,"{'loss': 7.750729825267721, 'status': 'ok'}","{'tid': 8, 'cmd': ('domain_attachment', 'FMinIter_Domain'), 'workdir': None, 'idxs': {'alpha': [8], 'decay': [8], 'eta': [8], 'gamma_threshold': [8], 'minimum_probability': [8], 'num_topics': [8], 'offset': [8]}, 'vals': {'alpha': [3], 'decay': [2], 'eta': [0], 'gamma_threshold': [11], 'minimum_probability': [1], 'num_topics': [9.0], 'offset': [1]}}",,,0,2021-05-03 21:21:05.642,2021-05-03 21:21:51.570,0.2,0.9,,5e-05,0.05,9.0,4,7.750729825267721,ok
9,2,9,,"{'loss': 8.125849779386296, 'status': 'ok'}","{'tid': 9, 'cmd': ('domain_attachment', 'FMinIter_Domain'), 'workdir': None, 'idxs': {'alpha': [9], 'decay': [9], 'eta': [9], 'gamma_threshold': [9], 'minimum_probability': [9], 'num_topics': [9], 'offset': [9]}, 'vals': {'alpha': [5], 'decay': [1], 'eta': [1], 'gamma_threshold': [11], 'minimum_probability': [6], 'num_topics': [9.0], 'offset': [5]}}",,,0,2021-05-03 21:21:51.574,2021-05-03 21:22:14.556,0.08,0.95,auto,5e-05,0.0005,9.0,1024,8.125849779386296,ok
10,2,10,,"{'loss': 7.959651286900826, 'status': 'ok'}","{'tid': 10, 'cmd': ('domain_attachment', 'FMinIter_Domain'), 'workdir': None, 'idxs': {'alpha': [10], 'decay': [10], 'eta': [10], 'gamma_threshold': [10], 'minimum_probability': [10], 'num_topics': [10], 'offset': [10]}, 'vals': {'alpha': [1], 'decay': [5], 'eta': [1], 'gamma_threshold': [10], 'minimum_probability': [0], 'num_topics': [11.0], 'offset': [5]}}",,,0,2021-05-03 21:22:14.561,2021-05-03 21:23:00.854,0.4,0.6,auto,0.0001,0.1,11.0,1024,7.959651286900826,ok
