,state,tid,spec,result,misc,exp_key,owner,version,book_time,refresh_time,num_topics,loss,status
0,2,0,,"{'loss': 1.803029109612259, 'status': 'ok'}","{'tid': 0, 'cmd': ('domain_attachment', 'FMinIter_Domain'), 'workdir': None, 'idxs': {'num_topics': [0]}, 'vals': {'num_topics': [12.0]}}",,,0,2021-05-03 21:49:06.144,2021-05-03 21:49:29.732,12.0,1.803029109612259,ok
1,2,1,,"{'loss': 1.6894914670424306, 'status': 'ok'}","{'tid': 1, 'cmd': ('domain_attachment', 'FMinIter_Domain'), 'workdir': None, 'idxs': {'num_topics': [1]}, 'vals': {'num_topics': [11.0]}}",,,0,2021-05-03 21:49:29.733,2021-05-03 21:49:55.589,11.0,1.6894914670424306,ok
2,2,2,,"{'loss': 1.7275602995757182, 'status': 'ok'}","{'tid': 2, 'cmd': ('domain_attachment', 'FMinIter_Domain'), 'workdir': None, 'idxs': {'num_topics': [2]}, 'vals': {'num_topics': [10.0]}}",,,0,2021-05-03 21:49:55.591,2021-05-03 21:50:19.917,10.0,1.7275602995757182,ok
3,2,3,,"{'loss': 2.35228229359699, 'status': 'ok'}","{'tid': 3, 'cmd': ('domain_attachment', 'FMinIter_Domain'), 'workdir': None, 'idxs': {'num_topics': [3]}, 'vals': {'num_topics': [17.0]}}",,,0,2021-05-03 21:50:19.919,2021-05-03 21:50:43.963,17.0,2.35228229359699,ok
4,2,4,,"{'loss': 1.6463074936896998, 'status': 'ok'}","{'tid': 4, 'cmd': ('domain_attachment', 'FMinIter_Domain'), 'workdir': None, 'idxs': {'num_topics': [4]}, 'vals': {'num_topics': [6.0]}}",,,0,2021-05-03 21:50:43.965,2021-05-03 21:51:08.193,6.0,1.6463074936896998,ok
5,2,5,,"{'loss': 1.803029109612259, 'status': 'ok'}","{'tid': 5, 'cmd': ('domain_attachment', 'FMinIter_Domain'), 'workdir': None, 'idxs': {'num_topics': [5]}, 'vals': {'num_topics': [12.0]}}",,,0,2021-05-03 21:51:08.195,2021-05-03 21:51:31.668,12.0,1.803029109612259,ok
6,2,6,,"{'loss': 2.5602668405556153, 'status': 'ok'}","{'tid': 6, 'cmd': ('domain_attachment', 'FMinIter_Domain'), 'workdir': None, 'idxs': {'num_topics': [6]}, 'vals': {'num_topics': [19.0]}}",,,0,2021-05-03 21:51:31.669,2021-05-03 21:51:56.185,19.0,2.5602668405556153,ok
7,2,7,,"{'loss': 2.5125442870124526, 'status': 'ok'}","{'tid': 7, 'cmd': ('domain_attachment', 'FMinIter_Domain'), 'workdir': None, 'idxs': {'num_topics': [7]}, 'vals': {'num_topics': [15.0]}}",,,0,2021-05-03 21:51:56.187,2021-05-03 21:52:20.317,15.0,2.5125442870124526,ok
8,2,8,,"{'loss': 2.0326456051437556, 'status': 'ok'}","{'tid': 8, 'cmd': ('domain_attachment', 'FMinIter_Domain'), 'workdir': None, 'idxs': {'num_topics': [8]}, 'vals': {'num_topics': [14.0]}}",,,0,2021-05-03 21:52:20.319,2021-05-03 21:52:44.531,14.0,2.0326456051437556,ok
9,2,9,,"{'loss': 1.7309368401140008, 'status': 'ok'}","{'tid': 9, 'cmd': ('domain_attachment', 'FMinIter_Domain'), 'workdir': None, 'idxs': {'num_topics': [9]}, 'vals': {'num_topics': [8.0]}}",,,0,2021-05-03 21:52:44.532,2021-05-03 21:53:09.301,8.0,1.7309368401140008,ok
10,2,10,,"{'loss': 2.0326456051437556, 'status': 'ok'}","{'tid': 10, 'cmd': ('domain_attachment', 'FMinIter_Domain'), 'workdir': None, 'idxs': {'num_topics': [10]}, 'vals': {'num_topics': [14.0]}}",,,0,2021-05-03 21:53:09.303,2021-05-03 21:53:33.711,14.0,2.0326456051437556,ok
11,2,11,,"{'loss': 2.5602668405556153, 'status': 'ok'}","{'tid': 11, 'cmd': ('domain_attachment', 'FMinIter_Domain'), 'workdir': None, 'idxs': {'num_topics': [11]}, 'vals': {'num_topics': [19.0]}}",,,0,2021-05-03 21:53:33.713,2021-05-03 21:53:57.887,19.0,2.5602668405556153,ok
12,2,12,,"{'loss': 1.6463074936896998, 'status': 'ok'}","{'tid': 12, 'cmd': ('domain_attachment', 'FMinIter_Domain'), 'workdir': None, 'idxs': {'num_topics': [12]}, 'vals': {'num_topics': [6.0]}}",,,0,2021-05-03 21:53:57.889,2021-05-03 21:54:22.151,6.0,1.6463074936896998,ok
13,2,13,,"{'loss': 1.761871164174144, 'status': 'ok'}","{'tid': 13, 'cmd': ('domain_attachment', 'FMinIter_Domain'), 'workdir': None, 'idxs': {'num_topics': [13]}, 'vals': {'num_topics': [13.0]}}",,,0,2021-05-03 21:54:22.153,2021-05-03 21:54:46.727,13.0,1.761871164174144,ok
14,2,14,,"{'loss': 2.35228229359699, 'status': 'ok'}","{'tid': 14, 'cmd': ('domain_attachment', 'FMinIter_Domain'), 'workdir': None, 'idxs': {'num_topics': [14]}, 'vals': {'num_topics': [17.0]}}",,,0,2021-05-03 21:54:46.729,2021-05-03 21:55:11.378,17.0,2.35228229359699,ok
