,state,tid,spec,result,misc,exp_key,owner,version,book_time,refresh_time,alpha,decay,eta,gamma_threshold,minimum_probability,num_topics,offset,loss,status
0,2,0,,"{'loss': 2.09680574420023, 'status': 'ok'}","{'tid': 0, 'cmd': ('domain_attachment', 'FMinIter_Domain'), 'workdir': None, 'idxs': {'alpha': [0], 'decay': [0], 'eta': [0], 'gamma_threshold': [0], 'minimum_probability': [0], 'num_topics': [0], 'offset': [0]}, 'vals': {'alpha': [6], 'decay': [4], 'eta': [0], 'gamma_threshold': [5], 'minimum_probability': [3], 'num_topics': [10.0], 'offset': [3]}}",,,0,2021-05-03 23:10:55.316,2021-05-03 23:11:29.112,0.06,0.7,,0.001,0.01,10.0,64,2.09680574420023,ok
1,2,1,,"{'loss': 1.789676939709068, 'status': 'ok'}","{'tid': 1, 'cmd': ('domain_attachment', 'FMinIter_Domain'), 'workdir': None, 'idxs': {'alpha': [1], 'decay': [1], 'eta': [1], 'gamma_threshold': [1], 'minimum_probability': [1], 'num_topics': [1], 'offset': [1]}, 'vals': {'alpha': [6], 'decay': [8], 'eta': [0], 'gamma_threshold': [9], 'minimum_probability': [6], 'num_topics': [13.0], 'offset': [1]}}",,,0,2021-05-03 23:11:29.116,2021-05-03 23:12:04.979,0.06,0.50001,,0.0002,0.0005,13.0,4,1.789676939709068,ok
2,2,2,,"{'loss': 2.089737286333883, 'status': 'ok'}","{'tid': 2, 'cmd': ('domain_attachment', 'FMinIter_Domain'), 'workdir': None, 'idxs': {'alpha': [2], 'decay': [2], 'eta': [2], 'gamma_threshold': [2], 'minimum_probability': [2], 'num_topics': [2], 'offset': [2]}, 'vals': {'alpha': [6], 'decay': [4], 'eta': [1], 'gamma_threshold': [5], 'minimum_probability': [4], 'num_topics': [14.0], 'offset': [2]}}",,,0,2021-05-03 23:12:04.983,2021-05-03 23:12:39.673,0.06,0.7,auto,0.001,0.005,14.0,16,2.089737286333883,ok
3,2,3,,"{'loss': 1.835429222655627, 'status': 'ok'}","{'tid': 3, 'cmd': ('domain_attachment', 'FMinIter_Domain'), 'workdir': None, 'idxs': {'alpha': [3], 'decay': [3], 'eta': [3], 'gamma_threshold': [3], 'minimum_probability': [3], 'num_topics': [3], 'offset': [3]}, 'vals': {'alpha': [8], 'decay': [1], 'eta': [1], 'gamma_threshold': [10], 'minimum_probability': [5], 'num_topics': [15.0], 'offset': [4]}}",,,0,2021-05-03 23:12:39.679,2021-05-03 23:13:07.310,0.02,0.95,auto,0.0001,0.001,15.0,256,1.835429222655627,ok
4,2,4,,"{'loss': 2.0122854515391757, 'status': 'ok'}","{'tid': 4, 'cmd': ('domain_attachment', 'FMinIter_Domain'), 'workdir': None, 'idxs': {'alpha': [4], 'decay': [4], 'eta': [4], 'gamma_threshold': [4], 'minimum_probability': [4], 'num_topics': [4], 'offset': [4]}, 'vals': {'alpha': [6], 'decay': [3], 'eta': [1], 'gamma_threshold': [0], 'minimum_probability': [7], 'num_topics': [12.0], 'offset': [2]}}",,,0,2021-05-03 23:13:07.314,2021-05-03 23:14:27.464,0.06,0.8,auto,0.02,0.0001,12.0,16,2.0122854515391757,ok
5,2,5,,"{'loss': 2.1831214524859903, 'status': 'ok'}","{'tid': 5, 'cmd': ('domain_attachment', 'FMinIter_Domain'), 'workdir': None, 'idxs': {'alpha': [5], 'decay': [5], 'eta': [5], 'gamma_threshold': [5], 'minimum_probability': [5], 'num_topics': [5], 'offset': [5]}, 'vals': {'alpha': [8], 'decay': [4], 'eta': [0], 'gamma_threshold': [3], 'minimum_probability': [7], 'num_topics': [12.0], 'offset': [3]}}",,,0,2021-05-03 23:14:27.479,2021-05-03 23:16:16.079,0.02,0.7,,0.003,0.0001,12.0,64,2.1831214524859903,ok
6,2,6,,"{'loss': 2.6079177734587056, 'status': 'ok'}","{'tid': 6, 'cmd': ('domain_attachment', 'FMinIter_Domain'), 'workdir': None, 'idxs': {'alpha': [6], 'decay': [6], 'eta': [6], 'gamma_threshold': [6], 'minimum_probability': [6], 'num_topics': [6], 'offset': [6]}, 'vals': {'alpha': [3], 'decay': [2], 'eta': [1], 'gamma_threshold': [2], 'minimum_probability': [7], 'num_topics': [8.0], 'offset': [3]}}",,,0,2021-05-03 23:16:16.095,2021-05-03 23:17:51.714,0.2,0.9,auto,0.005,0.0001,8.0,64,2.6079177734587056,ok
7,2,7,,"{'loss': 1.7210746054200463, 'status': 'ok'}","{'tid': 7, 'cmd': ('domain_attachment', 'FMinIter_Domain'), 'workdir': None, 'idxs': {'alpha': [7], 'decay': [7], 'eta': [7], 'gamma_threshold': [7], 'minimum_probability': [7], 'num_topics': [7], 'offset': [7]}, 'vals': {'alpha': [3], 'decay': [1], 'eta': [1], 'gamma_threshold': [0], 'minimum_probability': [2], 'num_topics': [11.0], 'offset': [1]}}",,,0,2021-05-03 23:17:51.730,2021-05-03 23:18:54.404,0.2,0.95,auto,0.02,0.02,11.0,4,1.7210746054200463,ok
8,2,8,,"{'loss': 2.13386750215047, 'status': 'ok'}","{'tid': 8, 'cmd': ('domain_attachment', 'FMinIter_Domain'), 'workdir': None, 'idxs': {'alpha': [8], 'decay': [8], 'eta': [8], 'gamma_threshold': [8], 'minimum_probability': [8], 'num_topics': [8], 'offset': [8]}, 'vals': {'alpha': [8], 'decay': [0], 'eta': [0], 'gamma_threshold': [10], 'minimum_probability': [4], 'num_topics': [8.0], 'offset': [4]}}",,,0,2021-05-03 23:18:54.409,2021-05-03 23:19:11.474,0.02,0.99,,0.0001,0.005,8.0,256,2.13386750215047,ok
9,2,9,,"{'loss': 2.231076190320222, 'status': 'ok'}","{'tid': 9, 'cmd': ('domain_attachment', 'FMinIter_Domain'), 'workdir': None, 'idxs': {'alpha': [9], 'decay': [9], 'eta': [9], 'gamma_threshold': [9], 'minimum_probability': [9], 'num_topics': [9], 'offset': [9]}, 'vals': {'alpha': [1], 'decay': [0], 'eta': [1], 'gamma_threshold': [7], 'minimum_probability': [4], 'num_topics': [15.0], 'offset': [1]}}",,,0,2021-05-03 23:19:11.478,2021-05-03 23:19:52.578,0.4,0.99,auto,0.0006,0.005,15.0,4,2.231076190320222,ok
